City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Padang,ID,-0.9492,100.3543,86.05,89,100,5.55,overcast clouds
281,Haines Junction,CA,60.7522,-137.5108,24.75,86,13,1.14,few clouds
282,Zeya,RU,53.75,127.2667,31.35,84,100,5.86,light snow
283,Priargunsk,RU,50.3691,119.1012,37.99,54,59,2.17,broken clouds
284,Puerto Madryn,AR,-42.7692,-65.0385,61.81,68,100,7.2,overcast clouds
285,Fontem,CM,5.4685,9.8818,64.65,93,57,1.68,broken clouds
286,Biltine,TD,14.5333,20.9167,79.12,21,36,13.18,scattered clouds
287,Egvekinot,RU,66.3167,-179.1667,-2.74,78,63,12.5,broken clouds
288,Constitucion,CL,-35.3333,-72.4167,53.06,85,83,5.06,broken clouds
289,Uinskoye,RU,56.8817,56.5813,19.53,85,46,2.89,scattered clouds
290,Jumla,NP,29.2747,82.1838,53.8,28,0,2.53,clear sky
291,Liwale,TZ,-9.7667,37.9333,72.75,80,97,6.76,overcast clouds
292,Arica,CL,-18.475,-70.3042,59.23,77,0,5.75,clear sky
293,Andenes,NO,69.3143,16.1194,44.58,81,75,10.36,broken clouds
294,Waingapu,ID,-9.6567,120.2641,89.55,58,63,13.02,heavy intensity rain
295,Isangel,VU,-19.55,169.2667,77.11,69,75,5.75,broken clouds
296,Raudeberg,NO,61.9875,5.1352,48.87,71,81,14.16,broken clouds
297,Vegreville,CA,53.5001,-112.0518,25.11,85,0,4.61,clear sky
298,Zvishavane,ZW,-20.3267,30.0665,66.38,82,38,8.39,scattered clouds
299,Oum Hadjer,TD,13.2954,19.6966,80.83,24,58,6.82,broken clouds
300,Cockburn Town,TC,21.4612,-71.1419,81.45,74,2,13.78,clear sky
301,Aktau,KZ,43.65,51.2,45.18,45,99,11.27,overcast clouds
302,Wairoa,NZ,-39.0333,177.3667,51.6,87,100,15.99,moderate rain
303,Suntar,RU,62.1444,117.6319,22.71,73,100,7.29,overcast clouds
304,Senj,HR,44.9894,14.9058,56.07,89,70,8.05,broken clouds
305,Pevek,RU,69.7008,170.3133,-1.7,90,100,8.5,overcast clouds
306,Sal Rei,CV,16.1833,-22.9167,75.76,72,47,11.74,scattered clouds
307,Callaguip,PH,18.0714,120.4867,87.82,51,20,8.05,few clouds
308,Tahe,CN,52.3333,124.7333,37.18,79,88,1.92,overcast clouds
309,Quatre Cocos,MU,-20.2078,57.7625,78.1,74,31,10.36,scattered clouds
310,Bodaybo,RU,57.8506,114.1933,27.97,74,100,3.13,overcast clouds
311,Domoni,KM,-12.2569,44.5319,79.32,79,23,6.22,few clouds
312,Tomohon,ID,1.3346,124.8392,79.74,70,48,1.1,scattered clouds
313,Muret,FR,43.3333,1.25,49.78,95,100,8.12,overcast clouds
314,Cap Malheureux,MU,-19.9842,57.6142,78.48,73,11,8.01,few clouds
315,Lowestoft,GB,52.4752,1.7516,38.32,87,6,6.35,clear sky
316,Helena,US,46.5927,-112.0361,41.99,77,1,0.0,clear sky
317,Grao Mogol,BR,-16.5594,-42.8897,64.0,98,100,3.24,overcast clouds
318,Lixourion,GR,38.2019,20.4314,63.37,78,5,2.55,clear sky
319,Ketchikan,US,55.3422,-131.6461,45.07,93,90,0.0,light rain
320,Chanute,US,37.6792,-95.4572,44.71,70,1,6.91,clear sky
321,Lasa,IT,46.6166,10.7002,43.68,98,100,4.56,overcast clouds
322,Stykkisholmur,IS,65.0757,-22.7297,29.61,63,42,6.44,scattered clouds
323,Ballina,AU,-28.8667,153.5667,75.38,58,75,10.36,broken clouds
324,Houston,US,29.7633,-95.3633,69.94,83,90,1.99,overcast clouds
325,Bitung,ID,1.4451,125.1824,88.65,70,49,5.99,scattered clouds
326,Nova Kakhovka,UA,46.7545,33.3486,52.54,97,100,10.89,overcast clouds
327,Lockport,US,41.5895,-88.0578,37.29,80,1,5.75,clear sky
328,Namatanai,PG,-3.6667,152.4333,84.6,72,100,8.05,light rain
329,Turukhansk,RU,65.8167,87.9833,-11.88,94,20,2.33,few clouds
330,Konza,KE,-1.7426,37.1294,60.04,91,77,4.18,broken clouds
331,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.03,92,12,10.8,few clouds
332,Whitehorse,CA,60.7161,-135.0538,33.03,63,20,13.0,few clouds
333,Yelizavetino,RU,59.4916,29.7938,40.73,93,73,8.16,broken clouds
334,Barra Patuca,HN,15.8,-84.2833,76.95,86,100,6.49,overcast clouds
335,Kalmunai,LK,7.4167,81.8167,84.34,68,87,11.5,overcast clouds
336,Geraldton,AU,-28.7667,114.6,75.61,41,0,17.27,clear sky
337,Mount Gambier,AU,-37.8333,140.7667,60.71,82,90,18.41,overcast clouds
338,Portland,US,45.5234,-122.6762,54.28,85,90,1.01,overcast clouds
339,Tairua,NZ,-37.0167,175.85,53.44,89,100,21.99,overcast clouds
340,Ancud,CL,-41.8697,-73.8203,53.13,93,100,16.58,light rain
341,Yuancheng,CN,36.652,107.7896,52.65,44,3,8.41,clear sky
342,Khor,RU,47.8861,134.9464,46.54,34,26,2.93,scattered clouds
343,Imbituba,BR,-28.24,-48.6703,71.49,96,59,10.16,broken clouds
344,Chara,RU,56.9064,118.2631,24.98,75,92,2.53,overcast clouds
345,Moshi,TZ,-3.35,37.3333,72.37,80,34,2.51,scattered clouds
